교과목 이름,학년,이수구분,설강학과,선수강 과목,연결과목,교과목개요
3D패션CAD,3.0,전공심화,주얼리·패션디자인학과,,,"본 교과는 4차 산업 발전에 따른 3D디자인 활성화에 발맞춘 실무적 능력을 함양하여 글로벌 인재로 나아가는 기반을 갖출 수 있도록 한다. 학습자는 2D 디자인과 3D 의상 제작 원리와 활용도에 대해 이해하고, CL0 소프트웨어를 통한 2D 작접 및 3D 렌더링에 필요한 프로그램 툴을 학습하여 학습자 개인의 vIRTUAL dESIGN 제적을 완성하는 실습수업으로 진행된다. [통합 개요] 본 교과목은  생성형 AI 및 기타 프로그램을 활용하여 의상 디자인의 기획, 스케치 그리고 3D 이미지 구현을 목표로 한다. 
AI의 기능이 증가하고 있는 현 시점에 AI기능을 배우고 이를 통한 아이디어를  3차원상에서 입체적으로 시각화  할 수 있어 의복구성에 대한 이해의 확대 및 창의성 향상을 할 수 있다. 디지털 환경에 맞는 지속가능한 패션의 다양한 가능성을 모색할 수 있다."
3D프로덕트디자인,2.0,전공핵심,융합디자인학부,,,"본 수업은 3D 프로덕트 디자인에 대한 심화 교육을 제공하며, Rhino 3D와 KeyShot을 활용하여 전문적인 디자인 퀄리티를 향상시키는 데 중점을 둡니다. 이 과정은 창의적인 제품 컨셉 개발 뿐만 아니라, 제품 형상과 디자인에 대한 당위성을 이해하고, 전반적인 제품 디자인 프로세스를 배우는 것을 목표로 합니다. 수업은 실습 중심으로 진행되어 이론과 실습을 접목한 학습 기회를 제공합니다."
4차산업혁명과고전읽기,,교양선택,ERICA 대학,,,"본 강좌는 고전 읽기, 자기계발을 융합하여 수강생들의 사회생활에 실체적인 도움을 주는 것을 목표로 한다. 

이 목표에 따라 강좌의 전반부에서는 고전독서를 활용한 스토리텔링, 스토리텔링 홍보, 고전을 통한 자기계발에 중점을 두고, 후반부에서는 고전독서를 통한 자기브랜드화, 지식편집력, 효과적인 커뮤니케이션의 방법론 등을 수업한다.  

본 강좌를 수강하는 학생들은 다양한 분야에서의 고전을 스스로 찾고, 스토리텔링을 통한 효과적인 자기브랜드화를 통해 향후 사회적 성취에 대한 자신감을 가지게 될 것이다. 

본 수업을 통해 수강생들은 단순히 고전을 읽고 해석하는 것에 그치는 않고, 현대인의 상상력에 부합하는 해설과정을 경험하게 되며, 이러한 과정에서 다양한 전공의 학생들과 문화를 상호 교류할 수 있는 소통역량, 내용분석역량, 미래를 주도적으로 기획할 수 있는 역량을 키울 수 있을 것이다. 

본 수업에서 진행될 고전독서 활용법을 통해 가장 강력하고도 효과적인 퍼스널 브랜딩의 방법론을 배우게 될 것이다. "
4차산업혁명과데이터사이언스,1.0,교양필수,경영학부,,,"본 교과목에서는 현실에 존재하는 방대한 양의 데이터에서 우리에게 필요한 데이터만 효율적으로 수집하고 가공, 분석 및 시각화하는 능력을 키우는 것을 목표로 한다. 이를 위하여 파이썬 프로그래밍 언어를 이용하여 인터넷으로부터 데이터를 크롤링하는 방법, 이를 이용하여 필요한 데이터를 찾는 방법, 그리고 적절한 그래프로 표현하는 방법을 학습한다."
4차산업혁명기술과물리학,,교양선택,ERICA 대학,,,"
4차 산업혁명 시대의 과학기술은 현대인의 삶의 방식을 완전히 바꾸고 있다. 따라서 4차 산업혁명의 과학기술에 관해서 폭넓게 이해하고 이를 활용하는 것은 매우 중요하다. 본 과목에서는 4차 산업혁명란 무엇인지 그리고 그 내용이 되는 과학기술 및 그 기초가 되는 물리학에 관하여 폭넓게 탐구한다. 물리학의 기초가 없어도 수업을 들을 수 있지만 과학기술에 대한 탐구의식 및 고등학교 수준의 수학지식은 요구된다.  [통합 개요] 4차 산업혁명은 속도와 깊이 규모 면에서 압도적으로 정치, 경제, 사회 각 분야의 패러다임을 변화시키고 있다. 따라서 4차 산업혁명의 과학기술에 관해서 폭넓게 이해하고 이를 활용하는 것은 매우 중요하다. 본 과목에서는 4차 산업혁명란 무엇인지 그리고 그 기반이 되는 과학기술 및 더 근본적인 원리인 물리학에 관하여 폭넓게 탐구한다. 물리학의 기초가 없어도 수업을 들을 수 있지만 과학기술에 대한 탐구의식 및 고등학교 수준의 수학지식은 요구된다. "
4차산업혁명에서의윤리,,교양선택,ERICA 대학,,,"본 교과목에서는 4차산업혁명으로 생겨날 법한 '인간', '주체', '선(善)', '기술' 개념들의 변화를 추적하면서, 이전과 다른 삶의 맥락에서 기술 개발 및 활용에 있어 우리가 어떻게 '합리적'이고도 윤리적으로 판단할 수 있는지를 두루두루 통섭적 방식으로 다루어 본다. "
4차산업혁명의이해,1.0,전공핵심,로봇융합전공,,,4차 산업혁명은 요즘 주변에서 가장 많이 들을 수 있는 단어로 현재 이 시기를 정의하는 가장 중요한 키워드다. 하지만 이 말이 어떤 의미를 담고 있으며 4차 산업혁명이 우리를 어떻게 바꿔가고 있는지는 잘 알지 못하고 있다. 따라서 본 수업에서는 4차 산업혁명의 의미와 기반 기술 그리고 변화와 방향에 대해 알아보도록 한다.
AD&PR프로젝트,3.0,전공핵심,광고홍보학과,,," 이 과목의 수업목표는 광고와 홍보의 이론, 실무 및 현황 등 다양한 과제와 문제에 대하여 학생들이 토론하고 연구하여 광고홍보전공학생들이 광고와 홍보에 대한 지식을 검토하고 정리하는 데 있다.   [통합 개요] 본 수업은 기존의 강의식/주입식 수업 방식을 탈피하여, 학생들의 실제적 문제 해결 능력을 함양하는데 목표를 둔다. 특히 본 수업은 실제 기업이 직면한 광고/마케팅 문제를 직접 제공 받아 수업 시나리오를 개발하고, 학생들의 문제해결을 위해 기업체 실무 담당자가 필요한 자료 제공은 물론, 중간 피드백, 특강 등을 통한 컨설팅이 이루어 질 예정이며, 학기말에는 기업 실무진/임원진에게 최종 발표를 통한 평가/피드백을 받는 ‘현장통합형’ IC-PBL로 진행되어진다. 따라서 본 수업의 기대효과로는 학생들이 기업이 직면하고 있는 문제를 직접 해결, 대안을 제시해 봄으로써 문제해결 역량을 갖춘 현장실무형 인재로 거듭날 것이다. "
AD/PR과사회,3.0,전공핵심,글로벌전략커뮤니케이션전공,,,"이 코스는 광고와 홍보라는 설득력 있는 미디어 직업에서 사회적 책임의 역사와 의미를 탐구할 것입니다. 다루는 주제는 다음과 같습니다: 기업의 사회적 책임(CSR) 개념의 역사, 사람들의 세계관과 행동을 형성하고 영향을 미치는 광고와 홍보의 역할, 대중 매체에서의 권력, 미디어 통제와 검열에서의 광고의 역할, 전문적 설득의 윤리와 효과 정치적, 경제적 힘이 미디어 직업에 미치는 영향; 그리고 광고와 홍보에서 논란이 되는 다양한 사회적 이슈들.필요한 독서는 대중 통신, 사회학, 역사, 사회 심리학, 도덕 철학, 정치학, 인터넷 연구 등 다양한 학문적 관심사를 다룰 것입니다."
AI+X:R-Py컴퓨팅,,교양선택,ERICA 대학,머신러닝 기법의 분석 특성상 기초 통계학 지식이 필요,,"본 교과목은 데이터 사이언스 및 AI 과목에 기초가 되는 R 프로그래밍 및 Python 프로그램의 기초를 배우는 것을 목적으로 한다. 
이전학기와 달리 실무데이터 분석을 위한 프로세스를 중점적으로 다룬다. 
본 과정은 Smart-F(Flipped Learning : 온라인 1시간, 오프라인 2시간)   유형으로 진행됨
온라인 수업 : 온라인에서 제공되는 e-Learning 콘텐츠를 선수학습 해야 함  (강의실 출석은 하지 않으나 콘텐츠는 반드시 수강하여야 출석에 반영됨)
오프라인 수업 : 교수자의 텔레프레즌스 강의로 진행됨(실습 위주)
2020년 2학기는 대면과 비대면 수업을 병행수행 "
AI+X:딥러닝,,교양선택,ERICA 대학,,,"본 교과목은 딥러닝을 개념을 이해하고, 딥러닝을 실험해 볼 수 있는 개발환경 조성과 활용에 관한 기초를 소개한다. 이를 위하여 다음과 같은 순서로 진행된다. 

1. 딥러닝을 위한 인공지능(AI) 관련 개념 (Agent, Searching, Learning 등)
2. 딥러닝을 위한 환경조성 및 관련 오픈소스 프로젝트 예제
3. 딥러닝 방법론 (Neural Network, Convolutional Networks 등)
4. SKT 텔레콤 인공지능-딥러닝 연구 사례 및 교육자료 병행 (동영상, 발표자료)
5. SKT 인공지능 교육 동영상 시청이 병행되어야 함

강의 계획 세부 내역은 현재 잠정적이며, 일부 항목은 변동이 있을 수가 있습니다. "
AI+X:머신러닝,,교양선택,ERICA 대학,,,"본 교과목은 머신러닝의 이해를 돕기 위한 사례 예제 중심으로 학습한다. 머신러닝의 원리를 이해하고 사례나 예제를 학습하기 위해 Python을 이용하여 실습을 진행한다. 이를 위해 학생 개별 PC의 편차를 고려해서 실습은 구글 Colaboratory를 활용하며, 수강생은 인터넷 연결이 가능한 곳에서 개별 PC로 학습이 가능하다. 본 수업은 머신러닝의 이해라는 관점에서 보다 사용법이 쉬운 것으로 알려져 있는 scikit-learn과 keras를 학습에 사용한다."
"AI,내편만들기",,교양선택,ERICA 대학,,,"‘AI, 내편만들기’는 인공지능 초보자를 위한 수업으로 AI 기술들을 살펴보고, AI 도구를 활용하여 부담 없이 인공지능을 접하고 활용할 수 있는 수업입니다. 
이를 위해 AI 이론뿐만 아니라, 학생들이 실제로 도구를 사용하고 경험하면서 더욱 효과적으로 실용적인 학습 경험을 제공하여 AI 접근성을 높입니다. 수업에서 다루는 도구들은 직관적이며 즉시 피드백을 받을 수 있어 더욱 실용적인 학습을 제공하게 됩니다.
‘AI, 내 편 만들기’ 교과의 인공지능 도구를 활용한 실습은 학생들에게 창의성을 발휘하고 문제를 해결하는 능력을 키우는 기회를 제공하게 되며 이는 미래에 필요한 핵심 역량의 기초가 될 것입니다.  [통합 개요] 강의는 최근 개발된 다양한 인공지능 도구들을 활용하여 이미지, 음악, 영상 등 다양한 창작 활동을 경험하는 교양과목입니다. 이 과목은 인공지능 기술의 기본 개념을 이해하고, 창작 과정에서 이를 효과적으로 활용하는 방법을 학습하는 것을 목표로 합니다. 총 16주 동안 진행되며, 이론 강의와 실습을 통해 창의적이고 실질적인 인공지능 활용 능력을 배양합니다."
AI공학문제해결,1.0,전공핵심,소재·부품융합전공,,,"공학수학의 기초인 미분-적분을 이해하고 우리 주변에서 만날 수 있는 다양한 공학적 문제를 과학적, 수학적 지식과 함께 첨단 기술을 활용하여 풀면서 기본적인 공학적 지식을 습득한다. 학생들은 산업체에서 생기는 여러 문제 중 한 가지를 인공지능 등 다양한 첨단기술과 미적분 등의 수학적 지식을 함께 이용하여 해결책을 찾아 제시하게 된다."
AI국제학,2.0,전공심화,중국학과,,,"새롭게 떠오르고 있는 핵심 기술인 인공지능과 국제사회 국제 관계와의 상호 작용을 살펴보고, 토론하며 기술과 국제 사회의 조화로운 발전 방안을 탐구한다"
AI기반고객경험디자인,3.0,전공심화,경영학부,,,"모든 산업분야에서 불확실성과 혼란으로 인해 변화가 가속화 되는 유동적인 환경에서 기존의 접근 방식이 더 이상 유효하지 않다. 따라서 이러한 외부 변동성에 대응할 수 있는 새로운 접근방식이 필요하다. 첫째, 최종 문제 해결은 작은 세부과제들의 답을 찾아가면서 전략적 통찰력을 얻을 수 있다. 둘째, 여러 렌즈를 통해서 문제를 바라볼 수 있다. 학생 혹은 최종 고객 관점을 넘어서 공급업체, 현재의 경쟁자, 잠재적 외부 진입자 등 다양한 이해관계자의 눈으로 문제를 바라보면 일상적인 관행을 넘어서 위협과 기회에 대해서 더 많은 관점을 얻을 수 있다. 셋째, 고객 데이터에서 발생되는 신호를 감지하고 AI와 협력하여 보다 나은 의사결정을 내릴 수 있다. 마지막으로 팀원들과 '함께 생각'하고 상호작용하여 최종 솔루션에 도달할 수 있다.
이러한 새로운 접근방식을 학습하기 위해서 본 수업은 PBL(Problem-Based Learning) 방식으로 진행된다.
교강사가 사전에 기업과의 협의를 통해서 현장에서 혹은 현장의 요구에서 발생한 문제를 준비한다. 본 수업에서 기업이 제시한 문제를 디자인 챌린지(Design Challenge: DC)라고 한다. 수강생들은 1학기 동안 팀을 구성하여 DC를 해결하는 과정을 개인-팀 PBL 활동을 병행하면서 진행합니다. 수강생들이 DC를 해결하는 절차에는 IDEO의 디자인 프로세스를 기반으로 개발된 감성적 경험 디자인(Emotional Experience Design: EXD) 방법론을 학습하고 사용합니다. 특히 1단계-발견에서는 고객과의 공감활동에 AI기술을 활용하는 방법을 습득할 수 있습니다.
본 수업을 통해 학생들은 사용자의 감성적 경험을 공감하고 새로운 제품·서비스의 연결을 실험하며 새로운 가치를 창조할 수 있는 디자인 역량을 배양하게 될 것이다."
AI리터러시,1.0,교양필수,LIONS자율전공학부(인문사회계열),,,"본 교과목은 4차 산업혁명 시대를 선도하는 데 필수적인 디지털 리터러시와 인공지능 활용 능력을 배양하기 위해 설계되었습니다. 파이썬 프로그래밍 언어를 통해 컴퓨터 기술의 기초를 다지고, 생성형 AI와 같은 최신 기술의 작동 원리와 사용법을 학습합니다. 또한, 인공지능의 사회적·윤리적 영향과 책임 있는 기술 활용을 논의하며, 이론과 실습을 겸비한 학습을 통해 문제 해결 역량과 비판적 사고력을 함양한다."
BIM설계3,2.0,전공심화,건축IT융합전공,,,건축의 계획부터 시공까지의 건설사업 전 과정에 BIM적용 프로세스에 관한 내용으로 구성BIM Tool중 Revit과 Rhino의 Grasshpooer기능을 활용하여 Facade의 디자인을 병행하여 BIM설계를 진행
BIM실무(분석/활용),3.0,전공심화,건축IT융합전공,,,"- 건축의 계획부터 시공까지의 건설사업 전 과정에 BIM적용 프로세스에 관한 내용으로 구성
- BIM Tool중 Revit, Navisworks를 이용하여 프로젝트를 진행하면서 BIM실무(분석/활용)을 이해"""
BIM통합설계,3.0,전공심화,건축공학전공,,,"국문 교과목 개요 : 본 과목은 파라메트릭 모델링 이론을 바탕으로 3D 모델링 이론 및 기법을 이해하고 복잡한 기하와 공간관계를 실험하고, 구체화 하고 문서화 하며 건축 및 구조 설계를 BIM platform과 접목하여 통합하는 과정과 기술을 교육 하고자 한다. 
 [통합 개요] 설계도면을 이해하고, 건축물 모델링에 대한 일반적인 이해를 전반적으로 향상시킬 수 있도록 Autodesk Revit을 활용하여 건축물 모델링을 진행"
C#게임프로그래밍,2.0,전공심화,스마트ICT융합전공,"C, C++ 혹은 Java 프로그래밍 경험이 있어야지 수업을 따라가기 수월합니다.",,"이 수업은 Unity 게임 엔진 환경하에서 C # 프로그래밍 언어를 가르칩니다. Unity를 사용하여 2D 게임을 개발함으로써 학생들은 변수, 메서드, 컬렉션, 논리, 루프 및 패턴을 포함한 C # 언어의 기본 사항과 객체 지향 프로그래밍의 핵심 개념을 학습합니다."
C++/JAVA프로그래밍,1.0,전공핵심,산업경영공학과,,,"4차 산업혁명 시대에서 프로그래밍은 현대인의 필수적인 교양으로 자리잡고 있다.
본 강의는 C++ 언어의 역사와 특징을 학습한 후, 가장 널리 활용되는 언어 중 하나인 파이썬(python)을 활용하여 프로그래밍 언어에서 사용하는 다양한 문법을 학습한다. 기본 개념과 다양한 예제 코드 실습자료를 통해 프로그래밍에 대한 지식을 숙지할 수 있을 것이라 기대한다."
CAD1,3.0,전공핵심,산업디자인학과,,,"● 제품디자인 과정에서 3D모델링 작업의 결과물은 이미지 제작을 위한 목적과 제작을 위한 설계에 목적이 있다.
● 제품디자인에서의 3D모델링 작업도 이미지 렌더링 뿐아니라 실제 설계에서 활용될 수 있도록 작업하는 것이 중요하다.
● 설계 엔지니어링과의 협업를 고려해서 제품디자인 모델링 단계에서부터 설계 엔지니어링과 동일한 프로그램으로 작업하면 업무 능률의 향상을 기대할 수 있다. [통합 개요] CAD1 에서는 실제 제품의 치수 개념과 연계 제품과의 호환성을 중심으로 디자인을 수행하는 수업이다. 디자인 사양 관련 피드백을 빠르게 반영할 수 있는 NX UG를 학습한다. 프로그램 학습과 병행하여 프로젝트를 수행해야하지만 프로그램 이해도를 높이고 디자인 작업 플로우를 경험하여 종합적인 수행 능력을 향상시키는데 목표가 있다.
프로그램 학습은 개인으로 진행하고 프로젝트 수행은 팀 단위로 진행한다. 각자 담당 개발 파트는 분업하지만 수행 방식을 동일하게 NX UG를 활용한다. 주차별로 팀 프로젝트 진행사항을 발표 형태로 진행한다. 
평가방식은 담당교수, 기업멘토가 평가한다. 평가항목을 세분화하여 공개하고 학습자에게 자기주도적 학습을 위한 피드백을 제공한다."
CORE기초기하벡터,,교양선택,ERICA 대학,,," 본 교과목은 대학 수학(미분적분학, 공업수학)의 수업을 이해하기 위한 기초 과목의 하나이다. 본 강좌
에서는 이차 곡선, 벡터, 공간 도형을 다룬다. 또한 고등학교 과정의 ``기하‘’ 과목을 기반으로 대학 수학의 
미적분학을 이해하고 응용할 수 있는 능력을 함양할 수 있도록 벡터의 기본 개념 및 대학 수학에 필요한 
다양한 응용문제, 그리고 이차 곡선의 개념과 미적분학으로의 응용, 공간 도형의 이해 등을 대학 수학과 
연계한 개념과 응용문제를 다룬다. "
