dept_code,admission_year,requirement_group,target_grade_level,required_count,requirement_text,is_alert_required,logic_operator,course_code,recommended_course
TRANS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
TRANS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
TRANS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
ELEC,,,,,,,,,일반물리학1
ELEC,,,,,,,,,미분적분학1
ELEC,,,,,,,,,미분적분학2
MECH,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
MECH,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
MECH,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
MECH,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
MECH,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
MECH,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
MECH,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
MECH,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
MECH,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
MECH,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
MECH,,,,,,,,,일반물리학1
MECH,,,,,,,,,미분적분학1
MECH,,,,,,,,,미분적분학2
BATT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
BATT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
BATT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
BATT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
BATT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
BATT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
BATT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
BATT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
BATT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
BATT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
BATT,,,,,,,,,일반물리학1
BATT,,,,,,,,,미분적분학1
BATT,,,,,,,,,미분적분학2
ROBOT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ROBOT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ROBOT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
ROBOT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
ROBOT,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
ROBOT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ROBOT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ROBOT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
ROBOT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
ROBOT,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
ROBOT,,,,,,,,,일반물리학1
ROBOT,,,,,,,,,미분적분학1
ROBOT,,,,,,,,,미분적분학2
ENERGY,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ENERGY,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ENERGY,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
ENERGY,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
ENERGY,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
ENERGY,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ENERGY,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ENERGY,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
ENERGY,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
ENERGY,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0066,
ENERGY,,,,,,,,,일반물리학1
ENERGY,,,,,,,,,미분적분학1
ENERGY,,,,,,,,,미분적분학2
OCEAN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
OCEAN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
OCEAN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
OCEAN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
OCEAN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0068,
OCEAN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
OCEAN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
OCEAN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
OCEAN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
OCEAN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0068,
OCEAN,,,,,,,,,일반물리학1
OCEAN,,,,,,,,,미분적분학1
OCEAN,,,,,,,,,미분적분학2
CS_CS,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
CS_CS,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
CS_CS,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,MAT2020,
CS_CS,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1021,
CS_CS,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
CS_CS,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
CS_CS,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,MAT2020,
CS_CS,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1021,
ICT,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,GEN2052,
ICT,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1017,
ICT,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,MAT2020,
ICT,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1021,
ICT,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,GEN2052,
ICT,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1017,
ICT,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,MAT2020,
ICT,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1021,
ICT,,,,,,,,,미분적분학1
ICT,,,,,,,,,프로그래밍기초
ICT,,,,,,,,,이산수학
CS_CLOUD,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,GEN2052,
CS_CLOUD,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1017,
CS_CLOUD,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,MAT2020,
CS_CLOUD,2026.0,1.0,A,1.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1021,
CS_CLOUD,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,GEN2052,
CS_CLOUD,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1017,
CS_CLOUD,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,MAT2020,
CS_CLOUD,2026.0,2.0,B,2.0,[더미] 아래 4개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 컴퓨터학부),True,AND,CSE1021,
CS_CLOUD,,,,,,,,,미분적분학1
CS_CLOUD,,,,,,,,,프로그래밍기초
CS_CLOUD,,,,,,,,,이산수학
ICT_DATA,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ICT_DATA,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ICT_DATA,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
ICT_DATA,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1007,
ICT_DATA,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE2010,
ICT_DATA,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
ICT_DATA,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
ICT_DATA,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
ICT_DATA,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1007,
ICT_DATA,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE2010,
ICT_DATA,,,,,,,,,일반물리학1
ICT_DATA,,,,,,,,,미분적분학1
ICT_DATA,,,,,,,,,프로그래밍기초
ICT_DESIGN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,GEN0063,
ICT_DESIGN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,GEN2052,
ICT_DESIGN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE1017,
ICT_DESIGN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE1007,
ICT_DESIGN,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE2010,
ICT_DESIGN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,GEN0063,
ICT_DESIGN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,GEN2052,
ICT_DESIGN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE1017,
ICT_DESIGN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE1007,
ICT_DESIGN,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수 (교육과정 차용: 데이터인텔리전스전공),True,AND,CSE2010,
ICT_DESIGN,,,,,,,,,일반물리학1
ICT_DESIGN,,,,,,,,,미분적분학1
ICT_DESIGN,,,,,,,,,프로그래밍기초
AI,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
AI,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
AI,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
AI,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ELE3037,
AI,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,DAI1002,
AI,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
AI,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
AI,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,CSE1017,
AI,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,ELE3037,
AI,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,DAI1002,
MATH_DS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
MATH_DS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
MATH_DS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2053,
MATH_DS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0064,
MATH_DS,2026.0,1.0,A,1.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,MAT1002,
MATH_DS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN0063,
MATH_DS,2026.0,2.0,B,2.0,[더미] 아래 5개 과목 중 성적 B(3.0) 이상 2과목 또는 A(4.0) 이상 1과목 필수,True,AND,GEN2052,
