학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,학과ID
CUL7124,AI리터러시,2,교양필수,1,2,배터리소재화학공학과,206
CUL2100,아카데믹글쓰기,2,교양필수,1,2,배터리소재화학공학과,206
GEN0066,일반물리학실험1,1,전공기초,1,1,배터리소재화학공학과,206
GEN0067,일반물리학실험2,1,전공기초,1,2,배터리소재화학공학과,206
GEN0068,일반화학1,3,전공기초,1,1,배터리소재화학공학과,206
GEN0069,일반화학2,3,전공기초,1,2,배터리소재화학공학과,206
GEN0070,일반화학실험1,1,전공기초,1,1,배터리소재화학공학과,206
GEN0071,일반화학실험2,1,전공기초,1,2,배터리소재화학공학과,206
GEN0063,일반물리학1,3,전공기초,1,1,산업경영공학과,207
INE1014,산업경영공학개론,3,전공기초,1,1,산업경영공학과,207
CUL7133,파이썬과인공지능,3,교양필수,1,1,산업경영공학과,207
GEN2052,미분적분학1,3,전공기초,1,1,산업경영공학과,207
CUL7125,ESG와SDGs이해,2,교양필수,1,1,산업경영공학과,207
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,산업경영공학과,207
CS31017,프로그래밍기초,3,전공기초,1,2,산업경영공학과,207
INE1016,산업의이해,3,전공기초,1,2,산업경영공학과,207
COE3051,공업수학1,3,전공기초,1,2,산업경영공학과,207
GEN2053,미분적분학2,3,전공기초,1,2,산업경영공학과,207
CUL7124,AI리터러시,2,교양필수,1,1,산업경영공학과,207
CUL2100,아카데믹글쓰기,2,교양필수,1,2,산업경영공학과,207
GEN0063,일반물리학1,3,전공기초,1,1,로봇공학과,208
GEN0064,일반물리학2,3,전공기초,1,2,로봇공학과,208
CAR0005,인공지능로봇의이해,2,전공기초,1,1,로봇공학과,208
CUL7125,ESG와SDGs이해,2,교양필수,1,1,로봇공학과,208
CUL7133,파이썬과인공지능,3,교양필수,1,1,로봇공학과,208
GEN0066,일반물리학실험1,1,전공기초,1,1,로봇공학과,208
GEN2052,미분적분학1,3,전공기초,1,1,로봇공학과,208
ROB1001,기초로봇공학개론,3,전공기초,1,1,로봇공학과,208
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,로봇공학과,208
CAR0001,어드벤쳐디자인1,1,전공기초,1,2,로봇공학과,208
COE3051,공업수학1,3,전공기초,1,2,로봇공학과,208
GEN2053,미분적분학2,3,전공기초,1,2,로봇공학과,208
ITE1009,C프로그래밍,2,전공기초,1,2,로봇공학과,208
ROB1002,기초로봇공학실험,3,전공기초,1,2,로봇공학과,208
CUL2100,아카데믹글쓰기,2,교양필수,1,2,로봇공학과,208
CUL7124,AI리터러시,2,교양필수,1,1,로봇공학과,208
GEN0063,일반물리학1,3,전공기초,1,1,에너지바이오학과,209
GEN0064,일반물리학2,3,전공기초,1,2,에너지바이오학과,209
GEN0066,일반물리학실험1,1,전공기초,1,1,에너지바이오학과,209
CUL7133,파이썬과인공지능,3,교양필수,1,1,에너지바이오학과,209
GEN2052,미분적분학1,3,전공기초,1,1,에너지바이오학과,209
GEN3030,대학생물학,2,전공기초,1,1,에너지바이오학과,209
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,에너지바이오학과,209
CUL7125,ESG와SDGs이해,2,교양필수,1,1,에너지바이오학과,209
GEN0067,일반물리학실험2,1,전공기초,1,2,에너지바이오학과,209
GEN2053,미분적분학2,3,전공기초,1,2,에너지바이오학과,209
CUL2100,아카데믹글쓰기,2,교양필수,1,2,에너지바이오학과,209
CLU7124,AI리터러시,2,교양필수,1,2,에너지바이오학과,209
GEN0068,일반화학1,3,전공기초,1,1,에너지바이오학과,209
GEN0069,일반화학2,3,전공기초,1,2,에너지바이오학과,209
GEN0070,일반화학실험1,1,전공기초,1,1,에너지바이오학과,209
GEN0071,일반화학실험2,1,전공기초,1,2,에너지바이오학과,209
GEN0063,일반물리학1,3,전공기초,1,1,해양융합공학과,210
GEN0064,일반물리학2,3,전공기초,1,2,해양융합공학과,210
EMS1020,해양융합공학개론,2,전공기초,1,1,해양융합공학과,210
GEN2052,미분적분학1,3,전공기초,1,1,해양융합공학과,210
GEN0074,일반생물학1,3,전공기초,1,1,해양융합공학과,210
CUL7125,ESG와SDGs이해,2,교양필수,1,1,해양융합공학과,210
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,해양융합공학과,210
GEN2053,미분적분학2,3,전공기초,1,2,해양융합공학과,210
GEN0075,일반생물학2,3,전공기초,1,2,해양융합공학과,210
EMS1021,해양융합공학일반화학실험,1,전공기초,1,2,해양융합공학과,210
CLU7124,AI리터러시,2,교양필수,1,2,해양융합공학과,210
CUL2100,아카데믹글쓰기,2,교양필수,1,2,해양융합공학과,210
GEN0068,일반화학1,3,전공기초,1,1,해양융합공학과,210
GEN0069,일반화학2,3,전공기초,1,2,해양융합공학과,210
GEN1030,컴퓨터개론,3,전공핵심,1,1,컴퓨터학부,300
GEN2052,미분적분학1,3,전공기초,1,1,컴퓨터학부,300
CSE1017,프로그래밍기초,3,전공기초,1,1,컴퓨터학부,300
CUL7125,ESG와SDGs이해,2,교양필수,1,1,컴퓨터학부,300
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,컴퓨터학부,300
CUL7133,파이썬과인공지능,3,교양필수,1,1,컴퓨터학부,300
ITE1009,C프로그래밍,3,전공핵심,1,2,컴퓨터학부,300
CSE1019,오픈소스SW기초,2,전공핵심,1,2,컴퓨터학부,300
MAT2020,이산수학,3,전공기초,1,2,컴퓨터학부,300
COM2018,객체지향프로그래밍,3,전공핵심,1,2,컴퓨터학부,300
CSE1021,소프트웨어엔지니어링커뮤니케이션,2,전공기초,1,2,컴퓨터학부,300
CLU7124,AI리터러시,2,교양필수,1,1,컴퓨터학부,300
CUL2100,아카데믹글쓰기,2,교양필수,1,2,컴퓨터학부,300
GEN0063,일반물리학1,3,전공기초,1,1,ICT융합학부,303
CSE1017,프로그래밍기초,3,전공기초,1,1,ICT융합학부,303
CSE1007,논리학(컴퓨터전공),3,전공기초,1,1,ICT융합학부,303
GEN2052,미분적분학1,3,전공기초,1,1,ICT융합학부,303
CUL7125,ESG와SDGs이해,2,교양필수,1,1,ICT융합학부,303
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,ICT융합학부,303
CUL7133,파이썬과인공지능,3,교양필수,1,1,ICT융합학부,303
MMT4017,퓨쳐미디어와디지털아트,3,전공핵심,1,2,ICT융합학부,303
ICT1001,기초확률통계,3,전공기초,1,2,ICT융합학부,303
CSE2010,자료구조론,3,전공기초,1,2,ICT융합학부,303
MCD1001,디자인테크놀로지융합의이해,3,전공핵심,1,2,ICT융합학부,303
MMT2012,디지털미디어의디자인활용,3,전공핵심,1,2,ICT융합학부,303
CS31020,창의융합설계,2,전공핵심,1,2,ICT융합학부,303
CLU7124,AI리터러시,2,교양필수,1,1,ICT융합학부,303
CUL2100,아카데믹글쓰기,2,교양필수,1,2,ICT융합학부,303
GEN0063,일반물리학1,3,전공기초,1,1,인공지능학과,306
GEN1030,컴퓨터개론,3,전공핵심,1,1,인공지능학과,306
GEN2052,미분적분학1,3,전공기초,1,1,인공지능학과,306
CSE1017,프로그래밍기초,3,전공기초,1,1,인공지능학과,306
CUL7125,ESG와SDGs이해,2,교양필수,1,1,인공지능학과,306
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,인공지능학과,306
CUL7133,파이썬과인공지능,3,교양필수,1,1,인공지능학과,306
DAI1002,인공지능코딩,3,전공기초,1,1,인공지능학과,306
MMT2009,인공지능의이해,3,전공핵심,1,2,인공지능학과,306
ELE3037,확률과통계,3,전공기초,1,2,인공지능학과,306
CSE2018,시스템프로그래밍기초,3,전공핵심,1,2,인공지능학과,306
DAI1001,오픈소스실전인공지능,3,전공핵심,1,2,인공지능학과,306
CUL2100,아카데믹글쓰기,2,교양필수,1,2,인공지능학과,306
CLU7124,AI리터러시,2,교양필수,1,1,인공지능학과,306
GEN0063,일반물리학1,3,전공기초,1,1,수리데이터사이언스학과,307
GEN0064,일반물리학2,3,전공기초,1,2,수리데이터사이언스학과,307
GEN2052,미분적분학1,3,전공기초,1,1,수리데이터사이언스학과,307
MAT4096,인공지능기초,3,전공기초,1,1,수리데이터사이언스학과,307
MAT1002,확률및통계개론,3,전공기초,1,1,수리데이터사이언스학과,307
CUL7125,ESG와SDGs이해,2,교양필수,1,1,수리데이터사이언스학과,307
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,수리데이터사이언스학과,307
CUL7133,파이썬과인공지능,3,교양필수,1,1,수리데이터사이언스학과,307
GEN2053,미분적분학2,3,전공기초,1,2,수리데이터사이언스학과,307
MAT2079,데이터사이언스프로그래밍,3,전공핵심,1,2,수리데이터사이언스학과,307
MAT2020,이산수학,3,전공핵심,1,2,수리데이터사이언스학과,307
CUL2100,아카데믹글쓰기,2,교양필수,1,2,수리데이터사이언스학과,307
CLU7124,AI리터러시,2,교양필수,1,1,수리데이터사이언스학과,307
GEN0063,일반물리학1,3,전공기초,1,1,차세대반도체융합공학부,400
GEN0064,일반물리학2,3,전공기초,1,2,차세대반도체융합공학부,400
GEN0066,일반물리학실험1,1,전공기초,1,1,차세대반도체융합공학부,400
GEN0067,일반물리학실험2,1,전공기초,1,2,차세대반도체융합공학부,400
CUL7125,ESG와SDGs이해,2,교양필수,1,1,차세대반도체융합공학부,400
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,차세대반도체융합공학부,400
CUL7131,창의적프로그래밍기초와실습,3,교양필수,1,1,차세대반도체융합공학부,400
GEN0068,일반화학1,3,전공기초,1,1,차세대반도체융합공학부,400
GEN2052,미분적분학1,3,전공기초,1,1,차세대반도체융합공학부,400
CUL7128,오픈소스개발과활용,3,교양필수,1,2,차세대반도체융합공학부,400
GEN2053,미분적분학2,3,전공기초,1,2,차세대반도체융합공학부,400
GEN0069,일반화학2,3,전공기초,1,2,차세대반도체융합공학부,400
GEN0070,일반화학실험1,1,전공기초,1,1,차세대반도체융합공학부,400
CUL2100,아카데믹글쓰기,2,교양필수,1,2,차세대반도체융합공학부,400
GEN0071,일반화학실험2,1,전공기초,1,2,차세대반도체융합공학부,400
GEN0074,일반생물학1,3,전공기초,1,1,바이오신약융합학부,403
GEN0075,일반생물학2,3,전공기초,1,2,바이오신약융합학부,403
GEN0076,일반생물학실험1,1,전공기초,1,1,바이오신약융합학부,403
GEN0077,일반생물학실험2,1,전공기초,1,2,바이오신약융합학부,403
GEN0068,일반화학1,3,전공기초,1,1,바이오신약융합학부,403
CUL7125,ESG와SDGs이해,2,교양필수,1,1,바이오신약융합학부,403
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,바이오신약융합학부,403
CUL7131,창의적프로그래밍기초와실습,3,교양필수,1,1,바이오신약융합학부,403
GEN0069,일반화학2,3,전공기초,1,2,바이오신약융합학부,403
GEN3032,기초물리학,2,전공기초,1,1,바이오신약융합학부,403
CUL7128,오픈소스개발과활용,3,교양필수,1,2,바이오신약융합학부,403
GEN2053,미분적분학2,3,전공기초,1,2,바이오신약융합학부,403
GEN0070,일반화학실험1,1,전공기초,1,1,바이오신약융합학부,403
GEN0071,일반화학실험2,1,전공기초,1,2,바이오신약융합학부,403
CUL2100,아카데믹글쓰기,2,교양필수,1,2,바이오신약융합학부,403
GEN0063,일반물리학1,3,전공기초,1,1,국방지능정보융합공학부,406
GEN0064,일반물리학2,3,전공기초,1,2,국방지능정보융합공학부,406
GEN0066,일반물리학실험1,1,전공기초,1,1,국방지능정보융합공학부,406
GEN0067,일반물리학실험2,1,전공기초,1,2,국방지능정보융합공학부,406
CUL7125,ESG와SDGs이해,2,교양필수,1,1,국방지능정보융합공학부,406
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,국방지능정보융합공학부,406
CUL7131,창의적프로그래밍기초와실습,3,교양필수,1,1,국방지능정보융합공학부,406
EMS2021,물리해양학,3,전공기초,1,1,국방지능정보융합공학부,406
CSE4018,인간과컴퓨터상호작용,3,전공핵심,1,2,국방지능정보융합공학부,406
CUL7128,오픈소스개발과활용,3,교양필수,1,2,국방지능정보융합공학부,406
PHY1008,드론의이해와응용,3,전공핵심,1,2,국방지능정보융합공학부,406
GEN2053,미분적분학2,3,전공기초,1,2,국방지능정보융합공학부,406
CUL2100,아카데믹글쓰기,2,교양필수,1,2,국방지능정보융합공학부,406
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,경영학부,500
BUS1005,경영통계분석1,3,전공기초,1,1,경영학부,500
GEN0044,경영학원론,3,전공기초,1,1,경영학부,500
GEN0059,경제원론1,3,전공기초,1,1,경영학부,500
CUL7125,ESG와SDGs이해,2,교양필수,1,2,경영학부,500
CUL7135,파이썬과데이터분석,3,교양필수,1,2,경영학부,500
BUS1010,회계정보의이해,3,전공기초,1,2,경영학부,500
CUL7124,AI리터러시,2,교양필수,1,1,경영학부,500
CUL2100,아카데믹글쓰기,2,교양필수,1,1,경영학부,500
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,경제학부,501
GEN0044,경영학원론,3,전공기초,1,1,경제학부,501
GEN0059,경제원론1,3,전공기초,1,1,경제학부,501
ECO1001,경제학입문,3,전공핵심,1,1,경제학부,501
CUL7125,ESG와SDGs이해,2,교양필수,1,2,경제학부,501
ECO1002,경제수학,3,전공기초,1,2,경제학부,501
GEN0060,경제원론2,3,전공기초,1,2,경제학부,501
ECO1022,기업가정신과관계역량,1,전공핵심,1,2,경제학부,501
CUL7135,파이썬과데이터분석,3,교양필수,1,2,경제학부,501
CUL2100,아카데믹글쓰기,2,교양필수,1,1,보험계리학과,502
CLU7124,AI리터러시,2,교양필수,1,1,광고홍보학과,600
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,미디어학과,601
JMC1008,커뮤니케이션학의이해,3,전공기초,1,1,미디어학과,601
JMC2030,미디어제작의이해,3,전공기초,1,1,미디어학과,601
CUL7135,파이썬과데이터분석,2,교양필수,1,2,미디어학과,601
CUL7125,ESG와SDGs이해,2,교양필수,1,2,미디어학과,601
JMC2000,디지털미디어사회의이해,3,전공기초,1,2,미디어학과,601
JOU3066,스피치커뮤니케이션의이해,3,전공기초,1,2,미디어학과,601
CUL2100,아카데믹글쓰기,2,교양필수,1,1,미디어학과,601
CLU7124,AI리터러시,2,교양필수,1,1,미디어학과,601
CUL7135,파이썬과데이터분석,2,교양필수,1,2,문화콘텐츠학과,602
DCC1007,문화콘텐츠인문학,3,전공기초,1,2,문화콘텐츠학과,602
DCC2017,문화콘텐츠마케팅,3,전공기초,1,2,문화콘텐츠학과,602
DCC2005,문화콘텐츠기획론,3,전공핵심,1,2,문화콘텐츠학과,602
DCC2004,멀티미디어저작실습,3,전공핵심,1,2,문화콘텐츠학과,602
CUL7125,ESG와SDGs이해,2,교양필수,1,2,문화콘텐츠학과,602
DCC2019,프리젠테이션기술과피칭전략,3,전공핵심,1,1,문화콘텐츠학과,602
DCC1011,콘텐츠스토리텔링기초,3,전공기초,1,1,문화콘텐츠학과,602
DCC2001,창의적발상법,3,전공기초,1,1,문화콘텐츠학과,602
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,문화콘텐츠학과,602
DCC1010,문화콘텐츠의기초,3,전공기초,1,1,문화콘텐츠학과,602
CUL2100,아카데믹글쓰기,2,교양필수,1,1,문화콘텐츠학과,602
CLU7124,AI리터러시,2,교양필수,1,1,문화콘텐츠학과,602
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,문화인류학과,603
ANT1059,AI시대인류학의도전,3,전공기초,1,1,문화인류학과,603
ANT1061,문화유산과고고학의세계,3,전공기초,1,1,문화인류학과,603
ANT2026,야외고고학,3,전공기초,1,2,문화인류학과,603
ANT1060,무형유산과한국학의이해,3,전공기초,1,2,문화인류학과,603
ANT1062,이주시대세계문화의이해,3,전공기초,1,2,문화인류학과,603
CUL7135,파이썬과데이터분석,3,교양필수,1,2,문화인류학과,603
CUL7125,ESG와SDGs이해,2,교양필수,1,2,문화인류학과,603
CUL2100,아카데믹글쓰기,2,교양필수,1,1,문화인류학과,603
CLU7124,AI리터러시,2,교양필수,1,1,문화인류학과,603
GCT1003,인공지능과지속가능발전,2,전공기초,1,1,글로벌문화통상학부,700
GCT1004,영상문화의이해,2,전공기초,1,1,글로벌문화통상학부,700
GCT1002,글로벌트랜드탐색,3,전공기초,1,1,글로벌문화통상학부,700
GCT1001,K-컬쳐와글로벌한국학문화연구기초,2,전공기초,1,1,글로벌문화통상학부,700
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,글로벌문화통상학부,700
CUL7135,파이썬과데이터분석,3,교양필수,1,2,글로벌문화통상학부,700
GCT1006,언어/문화모듈탐색,2,전공기초,1,2,글로벌문화통상학부,700
GCT1007,글로벌통상의이해,2,전공기초,1,2,글로벌문화통상학부,700
GCT1005,글로벌관광엔터테인먼트의이해,2,전공기초,1,2,글로벌문화통상학부,700
CUL7125,ESG와SDGs이해,2,교양필수,1,2,글로벌문화통상학부,700
CUL2100,아카데믹글쓰기,2,교양필수,1,1,글로벌문화통상학부,700
CLU7124,AI리터러시,2,교양필수,1,1,글로벌문화통상학부,700
DES1001,스튜디오프랙티스,3,전공기초,1,1,디자인계열,800
DES1002,2D디지털디자인,3,전공기초,1,1,디자인계열,800
DES1004,드로잉파운데이션,3,전공기초,1,1,디자인계열,800
VCC1001,IC-PBL과비전설계,1,교양필수,1,1,디자인계열,800
CUL2100,아카데믹글쓰기,2,교양필수,1,1,디자인계열,800
CUL7135,파이썬과데이터분석,3,교양필수,1,2,디자인계열,800
DES1005,크리에이티브프로세스,3,전공기초,1,2,디자인계열,800
DES1003,3D스페이셜디자인,3,전공기초,1,2,디자인계열,800
CUL7125,ESG와SDGs이해,2,교양필수,1,2,디자인계열,800
CLU7124,AI리터러시,2,교양필수,1,1,디자인계열,800
CUL7132,파이썬과인공지능,3,교양필수,1,1,LIONS자율전공학부(전계열),100
CUL7125,ESG와SDGs이해,2,교양필수,1,1,LIONS자율전공학부(전계열),100
GEN2052,미분적분학1,3,전공기초,1,1,LIONS자율전공학부(전계열),100
GEN0068,일반화학1,3,전공기초,1,1,LIONS자율전공학부(전계열),100
GEN0070,일반화학실험1,1,전공기초,1,1,LIONS자율전공학부(전계열),100
CUL7126,LIONS융합특강,2,교양필수,1,1,LIONS자율전공학부(전계열),100
GEN9313,BigQuestion:탐구의시작,2,교양필수,1,1,LIONS자율전공학부(전계열),100
GEN0063,일반물리학1,3,전공기초,1,1,LIONS자율전공학부(전계열),100
GEN0066,일반물리학실험1,1,전공기초,1,1,LIONS자율전공학부(전계열),100
LIS1001,전공탐색과설계1,2,전공기초,1,1,LIONS자율전공학부(전계열),100
LIS1005,성장과발달의심리적이해,2,전공핵심,1,1,LIONS자율전공학부(전계열),100
CLU7124,AI리터러시,2,전공기초,1,1,LIONS자율전공학부(전계열),100
LIS1003,LIONS혁신적질문과탐구,2,전공기초,1,2,LIONS자율전공학부(전계열),100
GEN2053,미분적분학2,3,전공기초,1,2,LIONS자율전공학부(전계열),100
GEN0069,일반화학2,3,전공기초,1,2,LIONS자율전공학부(전계열),100
GEN0071,일반화학실험2,1,전공기초,1,2,LIONS자율전공학부(전계열),100
LIS1004,LIONS융합프로젝트,2,전공핵심,1,2,LIONS자율전공학부(전계열),100
LIS1002,전공탐색과설계2,1,전공기초,1,2,LIONS자율전공학부(전계열),100
CUL7135,파이썬과데이터분석,3,교양필수,1,2,LIONS자율전공학부(전계열),100
GEN0064,일반물리학2,3,전공기초,1,2,LIONS자율전공학부(전계열),100
GEN0067,일반물리학실험2,1,전공기초,1,2,LIONS자율전공학부(전계열),100
CUL7126,LIONS융합특강,2,교양필수,1,1,LIONS자율전공학부(인문사회계열),101
GEN9313,BigQuestion:탐구의시작,2,교양필수,1,1,LIONS자율전공학부(인문사회계열),101
LIS1001,전공탐색과설계1,2,전공기초,1,1,LIONS자율전공학부(인문사회계열),101
CLU7124,AI리터러시,2,전공기초,1,1,LIONS자율전공학부(인문사회계열),101
LIS1005,성장과발달의심리적이해,2,전공핵심,1,1,LIONS자율전공학부(인문사회계열),101
LIS1003,LIONS혁신적질문과탐구,2,전공기초,1,2,LIONS자율전공학부(인문사회계열),101
LIS1004,LIONS융합프로젝트,2,전공핵심,1,2,LIONS자율전공학부(인문사회계열),101
LIS1002,전공탐색과설계2,1,전공기초,1,2,LIONS자율전공학부(인문사회계열),101
CUL7135,파이썬과데이터분석,3,교양필수,1,2,LIONS자율전공학부(인문사회계열),101
CUL7132,파이썬과인공지능,3,교양필수,1,1,LIONS자율전공학부(자연계열),102
GEN2052,미분적분학1,3,전공기초,1,1,LIONS자율전공학부(자연계열),102
GEN0068,일반화학1,3,전공기초,1,1,LIONS자율전공학부(자연계열),102
GEN0070,일반화학실험1,1,전공기초,1,1,LIONS자율전공학부(자연계열),102
GEN0063,일반물리학1,3,전공기초,1,1,LIONS자율전공학부(자연계열),102
GEN0066,일반물리학실험1,1,전공기초,1,1,LIONS자율전공학부(자연계열),102
CUL7126,LIONS융합특강,2,교양필수,1,1,LIONS자율전공학부(자연계열),102
